Topic,Words,Frequency,Timestamp,Name
-1,"law, legal, turkish, pasture, international",30,1990.971,-1_we_can_more_social
0,"hague, jurisdiction, law, court, judgment",3,1990.971,0_law_court_courts_legal
1,"civic, technologies, users, citizen, kenya",1,1990.971,1_media_news_internet_digital
2,"eu, european, us, american, union",1,1990.971,2_eu_european_eus_europe
4,"courts, judicial, law, judiciary, rights",1,1990.971,4_african_africa_government_political
5,"china, chinas, chinese, economic, li",1,1990.971,5_china_chinese_chinas_economic
7,"children, millennial, millennials, 2018, generation",2,1990.971,7_children_poverty_labor_school
8,"women, gender, womens, islamic, islam",1,1990.971,8_women_gender_womens_female
13,"dutch, globalization, newspaper, newspapers, france",1,1990.971,13_globalization_global_world_culture
15,"capitalist, capitalism, capital, economic, economics",3,1990.971,15_capital_capitalism_economic_economics
24,"corruption, corrupt, role, moral, institutional",1,1990.971,24_corruption_corrupt_bribery_bribes
26,"serb, croatia, yugoslavia, bosnia, serbian",2,1990.971,26_military_forces_war_army
27,"constitutional, constitutionalism, constitution, legal, laws",2,1990.971,27_constitutional_constitution_law_court...
29,"missionaries, ottoman, turkey, turkish, syria",1,1990.971,29_turkey_turkish_turkeys_kurdish
35,"asean, china, asia, vietnam, aseans",2,1990.971,35_asean_myanmar_asia_asian
39,"development, wdr, social, mental, identity",1,1990.971,39_development_poverty_sustainable_mdgs
47,"german, reichs, hitlers, reich, hitler",1,1990.971,47_soviet_war_us_military
52,"autonomy, agent, agents, autonomous, personality",1,1990.971,52_moral_legitimacy_autonomy_property
58,"visa, euros, spain, applicant, trade",1,1990.971,58_wto_trade_dispute_settlement
62,"lisbon, reconstruction, disaster, earthquake, disasters",1,1990.971,62_disaster_disasters_earthquake_emergen...
64,"dollar, debt, economic, global, budget",1,1990.971,64_us_china_world_american
66,"nile, river, niger, africa, watershed",1,1990.971,66_sanitation_dams_toilets_dam
75,"innovation, technology, infrastructure, research, innovative",1,1990.971,75_innovation_technology_technological_i...
76,"ngos, gongo, organizations, ngo, government",1,1990.971,76_ngos_organizations_nonprofit_ngo
79,"cultural, culture, globalization, identity, cultures",1,1990.971,79_culture_cultural_village_community
89,"food, disabled, disability, agriculture, insecurity",1,1990.971,89_agriculture_agricultural_foodservice_...
94,"strategic, managers, strategymaking, management, university",1,1990.971,94_universities_education_university_aca...
96,"australian, australia, australias, commonwealth, government",1,1990.971,96_australian_australia_australias_indig...
102,"israel, palestine, palestinian, palestinians, arab",1,1990.971,102_multilateral_multilateralism_interna...
110,"china, chinese, chinas, countries, asia",1,1990.971,110_china_silk_timorleste_language
125,"deadwood, genocide, hearst, bullock, hearsts",1,1990.971,125_genocide_rwanda_rwandan_deadwood
-1,"political, were, war, social, policy",33,1993.9,-1_we_can_more_social
0,"adjudication, court, courts, legal, lawyers",5,1993.9,0_law_court_courts_legal
1,"news, media, newspapers, journalism, bots",5,1993.9,1_media_news_internet_digital
2,"eu, ftas, commission, european, eus",2,1993.9,2_eu_european_eus_europe
3,"trafficking, immigration, migration, migrants, traffickers",3,1993.9,3_migration_migrants_immigration_immigra...
4,"peace, un, african, africa, conflict",3,1993.9,4_african_africa_government_political
7,"childbearing, marriage, attainment, children, marrying",1,1993.9,7_children_poverty_labor_school
8,"women, gender, womens, villages, village",1,1993.9,8_women_gender_womens_female
12,"participation, insurance, participatory, democracy, nonmarket",1,1993.9,12_democracy_political_democratic_partie...
15,"firm, entrepreneur, marshall, value, firms",2,1993.9,15_capital_capitalism_economic_economics
18,"spending, expenditures, expenditure, spenders, globalization",1,1993.9,18_health_care_insurance_healthcare
19,"court, moha, laws, judicial, law",1,1993.9,19_islamic_islam_muslim_muslims
20,"aid, chinas, china, donors, countries",1,1993.9,20_aid_donors_donor_countries
22,"university, universities, employee, employees, overtime",3,1993.9,22_universities_university_academic_facu...
23,"education, tutoring, educational, students, teachers",1,1993.9,23_education_school_students_schools
28,"korea, korean, koreas, japan, japanese",1,1993.9,28_korea_japan_korean_japanese
29,"museums, museum, turkish, exhibits, istanbul",1,1993.9,29_turkey_turkish_turkeys_kurdish
30,"education, colleges, universities, vocational, chinas",1,1993.9,30_students_education_universities_colle...
32,"arab, protesters, media, editorials, editorial",1,1993.9,32_arab_saudi_egypt_aid
36,"leisure, sports, physical, recreational, sport",1,1993.9,36_sports_sport_games_athletes
44,"nuclear, disarmament, diplomacy, weapons, indonesia",1,1993.9,44_diplomacy_diplomatic_diplomats_foreig...
49,"college, students, parents, colleges, family",1,1993.9,49_students_education_universities_colle...
52,"contract, obligations, moral, obligation, contractual",2,1993.9,52_moral_legitimacy_autonomy_property
56,"latin, brazil, argentina, american, brazilian",1,1993.9,56_brazil_brazilian_brazils_regional
57,"maritime, seabed, sea, arctic, piracy",1,1993.9,57_maritime_piracy_sea_inuit
63,"faculties, education, internationalization, students, educational",1,1993.9,63_internationalization_universities_uni...
70,"econom, assum, growth, per, sector",1,1993.9,70_evaluation_development_policy_assessm...
81,"interregional, regionalism, legal, law, foreign",1,1993.9,81_regionalism_regional_regions_european
82,"fwca, organization, organizations, reputation, scientiststakeholder",1,1993.9,82_organizations_organizational_organiza...
83,"crimes, crime, lanka, prisoners, lankan",1,1993.9,83_crime_police_policing_criminal
91,"satisfaction, apartments, dwellers, slum, india",1,1993.9,91_india_indias_indian_tourism
100,"family, children, families, care, health",1,1993.9,100_empowerment_volunteers_participation...
104,"legitimacy, regimes, authoritarian, elections, authoritarianism",1,1993.9,104_sociology_typologies_social_regulati...
117,"grade, bank, socioeconomic, grades, imf",1,1993.9,117_corruption_mexico_argentina_injustic...
131,"tax, eec, merger, corporate, antitrust",1,1993.9,131_tax_taxation_taxes_reform
138,"sovereignty, international, asean, wto, agreements",1,1993.9,138_global_economic_governance_globaliza...
-1,"policy, were, has, foreign, we",41,1996.8,-1_we_can_more_social
0,"court, antitrust, law, repeal, justices",4,1996.8,0_law_court_courts_legal
1,"journalism, media, communication, cyberbullying, news",5,1996.8,1_media_news_internet_digital
2,"eu, european, slovenia, slovenian, eus",6,1996.8,2_eu_european_eus_europe
3,"immigration, migrants, migration, immigrants, immigrant",5,1996.8,3_migration_migrants_immigration_immigra...
4,"african, africa, lgbt, homosexuality, antigay",7,1996.8,4_african_africa_government_political
8,"women, womens, gender, dialogue, participants",1,1996.8,8_women_gender_womens_female
9,"climate, change, regulatory, agencies, agency",1,1996.8,9_climate_emissions_environmental_carbon
10,"rights, market, freedoms, rules, liqueur",2,1996.8,10_rights_right_consent_law
12,"party, parties, political, legislation, democracy",1,1996.8,12_democracy_political_democratic_partie...
13,"global, globalization, governance, organizations, international",2,1996.8,13_globalization_global_world_culture
15,"economists, economy, french, comte, romanticism",1,1996.8,15_capital_capitalism_economic_economics
17,"russian, russia, interdependence, eu, relations",1,1996.8,17_russian_russia_russias_moscow
18,"health, healthcare, governance, services, sector",2,1996.8,18_health_care_insurance_healthcare
19,"islamic, muslim, law, muslims, islam",1,1996.8,19_islamic_islam_muslim_muslims
20,"aid, marshall, humanitarian, allies, assistance",1,1996.8,20_aid_donors_donor_countries
25,"electoral, elections, vote, voting, turnout",1,1996.8,25_voting_electoral_voters_vote
26,"military, mj, security, ministries, crisis",1,1996.8,26_military_forces_war_army
28,"korean, korea, china, japan, japanese",1,1996.8,28_korea_japan_korean_japanese
30,"vocational, education, schools, training, students",1,1996.8,30_students_education_universities_colle...
43,"indonesian, indonesia, muda, corruption, credit",1,1996.8,43_indonesia_indonesian_indonesias_malay...
44,"diplomacy, public, ngos, diplomats, treaty",3,1996.8,44_diplomacy_diplomatic_diplomats_foreig...
47,"india, terrorism, asia, afghanistan, nepal",1,1996.8,47_soviet_war_us_military
48,"nigeria, murder, justice, nigerian, banishment",1,1996.8,48_nigeria_nigerian_nigerias_government
50,"nato, russia, lithuania, lithuanias, europe",1,1996.8,50_russia_ukraine_russian_crimea
52,"autonomy, kantian, moral, utilitarian, her",1,1996.8,52_moral_legitimacy_autonomy_property
53,"housing, neighborhood, community, residents, schools",1,1996.8,53_city_cities_urban_neighborhood
54,"un, peacekeeping, veto, sanctions, kosovo",1,1996.8,54_canadian_federal_canada_government
55,"accreditation, graduates, educational, education, learning",1,1996.8,55_education_educational_students_univer...
57,"clcs, continental, arctic, coastal, sea",1,1996.8,57_maritime_piracy_sea_inuit
59,"faculties, university, ideological, education, universities",1,1996.8,59_ideological_education_colleges_politi...
60,"veil, ban, belgian, french, law",1,1996.8,60_law_legal_eu_jurisdiction
66,"water, stakeholder, officials, management, public",1,1996.8,66_sanitation_dams_toilets_dam
71,"sellers, ethical, selling, unethical, ethics",1,1996.8,71_ethical_ethics_moral_business
75,"innovation, knowledge, creative, network, perrysmith",1,1996.8,75_innovation_technology_technological_i...
81,"regionalism, regional, integration, regions, region",2,1996.8,81_regionalism_regional_regions_european
82,"career, organizational, consultancy, interplays, consulting",1,1996.8,82_organizations_organizational_organiza...
83,"police, crime, policing, security, organisations",2,1996.8,83_crime_police_policing_criminal
86,"teacher, politics, teachers, tibet, rhetoric",2,1996.8,86_education_tribal_faculty_teaching
90,"investor, investors, nafta, mexican, mexico",2,1996.8,90_nafta_agreement_mexico_brazil
98,"states, western, state, policy, discourse",1,1996.8,98_states_security_mongolia_mongolias
101,"costco, researchers, library, libraries, costcos",2,1996.8,101_library_libraries_consultants_librar...
104,"holy, quran, religions, our, prophets",1,1996.8,104_sociology_typologies_social_regulati...
105,"policymaking, partisan, policy, policymakers, reform",1,1996.8,105_policy_legislators_rationality_polic...
108,"health, ron, transdisciplinary, dystopic, political",1,1996.8,108_theory_governmentality_political_mac...
109,"book, edition, workbook, alabama, read",1,1996.8,109_community_lawyering_clients_rights
115,"rights, eu, eus, judicial, law",1,1996.8,115_judicial_eu_ecj_judges
126,"territory, territoriality, territorial, evolutionary, hawk",1,1996.8,126_anthropology_art_political_vichy
128,"research, sciences, humanities, researchers, scientific",2,1996.8,128_researchers_funding_strategic_scienc...
-1,"global, we, social, were, has",81,1999.7,-1_we_can_more_social
0,"sicc, law, treaties, court, treaty",6,1999.7,0_law_court_courts_legal
1,"news, media, press, journalists, journalism",12,1999.7,1_media_news_internet_digital
2,"eu, european, union, eus, europe",10,1999.7,2_eu_european_eus_europe
3,"asylum, migration, migrants, refugees, immigrants",7,1999.7,3_migration_migrants_immigration_immigra...
4,"african, africa, mbeki, colonial, congo",8,1999.7,4_african_africa_government_political
5,"china, chinas, chinese, economic, globalization",6,1999.7,5_china_chinese_chinas_economic
7,"fertility, peer, women, gender, budgets",2,1999.7,7_children_poverty_labor_school
9,"sugarcane, ethanol, sustainability, brazilian, biome",2,1999.7,9_climate_emissions_environmental_carbon
10,"rights, church, churches, responsibility, protect",3,1999.7,10_rights_right_consent_law
11,"shakman, religion, religious, pentecostalism, freedom",2,1999.7,11_religious_religion_churches_god
12,"racism, englishness, brexit, britain, british",1,1999.7,12_democracy_political_democratic_partie...
13,"globalization, regionalism, international, global, globalized",1,1999.7,13_globalization_global_world_culture
